Name,P/B,Focus
Minda Industries Ltd. ,4.66,
Amara Raja Batteries Ltd. ,4.68,
Bajaj Auto Ltd. ,4.71,
MAS Financial Services Ltd. ,4.71,
Polycab India Ltd. ,4.83,
Jamna Auto Industries Ltd. ,4.89,
Maruti Suzuki India Ltd. ,4.9,
Ashoka Buildcon Ltd. ,4.91,
Granules India Ltd. ,4.99,
Bajaj Consumer Care Ltd. ,5,
Persistent Systems Ltd. ,5.03,
Century Plyboards Ltd. ,5.04,
Aegis Logistics Ltd. ,5.08,
AIA Engineering Ltd. ,5.09,
Dhanuka Agritech Ltd. ,5.22,
HCL Technologies Ltd. ,5.25,
MphasiS Ltd. ,5.25,
Kotak Mahindra Bank Ltd. ,5.27,
Bharat Forge Ltd. ,5.35,
Triveni Turbine Ltd. ,5.43,
Coromandel International Ltd. ,5.55,
EPL Ltd. ,5.62,
JB Chemicals and Pharmaceuticals Ltd. ,5.62,
Dr Reddys Laboratories Ltd. ,5.69,
Bajaj Electricals Ltd. ,5.7,
Vodafone Idea Ltd. ,5.7,
Sudarshan Chemical Industries Ltd. ,5.71,
Mahindra Logistics Ltd. ,5.75,
Alkem Laboratories Ltd. ,5.76,
J. K. Cement Ltd. ,5.79,
Escorts Ltd. ,5.8,
Sundram Fasteners Ltd. ,5.84,
Cera Sanitaryware Ltd. ,5.93,
Sequent Scientific Ltd. ,5.96,
Ajanta Pharma Ltd. ,6.01,
Shoppers Stop Ltd. ,6.08,
SRF Ltd. ,6.17,
Atul Ltd. ,6.19,
Siemens Ltd. ,6.21,
Multi Commodity Exchange of India Ltd. ,6.44,
Kajaria Ceramics Ltd. ,6.5,
Garware Technical Fibres Ltd. ,6.51,
Hindustan Copper Ltd. ,6.51,
TTK Prestige Ltd. ,6.57,
Endurance Technologies Ltd. ,6.61,
Balkrishna Industries Ltd. ,6.65,
Alembic Pharmaceuticals Ltd. ,6.73,
Sonata Software Ltd. ,6.75,
TVS Motor Company Ltd. ,6.77,
Orient Refractories Ltd. ,6.78,
Grindwell Norton Ltd. ,6.87,
Voltas Ltd. ,6.92,
Shree Cements Ltd. ,7.04,
COFORGE LIMITED Ltd. ,7.12,
Solar Industries India Ltd. ,7.13,
Indraprastha Gas Ltd. ,7.19,
AAVAS Financiers  Ltd. ,7.22,
Aarti Industries Ltd. ,7.26,
Nippon Life India Asset Management Ltd. ,7.3,
Ipca Laboratories Ltd. ,7.39,
IFB Industries Ltd. ,7.54,
Eicher Motors Ltd. ,7.56,
Biocon Ltd. ,7.57,
Galaxy Surfactants Ltd. ,7.61,
Godrej Properties Ltd. ,7.68,
Amber Enterprises India Ltd. ,7.72,
Adani Transmission Ltd. ,7.96,
Gujarat Gas Ltd. ,8.09,
Narayana Hrudayalaya Ltd. ,8.11,
TeamLease Services Ltd. ,8.14,
APL Apollo Tubes Ltd. ,8.27,
Infosys Ltd. ,8.49,
Varun Beverages Ltd. ,8.51,
Aditya Birla Fashion & Retail Ltd. ,8.61,
Lux Industries Ltd. ,8.69,
VIP Industries Ltd. ,8.74,
Kansai Nerolac Paints Ltd. ,8.83,
Akzo Nobel India Ltd. ,8.84,
Max Financial Services Ltd. ,8.85,
Mindtree Ltd. ,9.08,
Deepak Nitrite Ltd. ,9.15,
V-Guard Industries Ltd. ,9.22,
India Tourism Development Corporation Ltd. ,9.25,
United Breweries Ltd. ,9.38,
L&T Technology Services Ltd. ,9.41,
Navin Fluorine International Ltd. ,9.52,
Bajaj Finance Ltd. ,9.54,
Godrej Consumer Products Ltd. ,9.71,
Blue Star Ltd. ,9.97,
Torrent Pharmaceuticals Ltd. ,10.01,
Trent Ltd. ,10.02,
Supreme Industries Ltd. ,10.1,
Apollo Hospitals Enterprises Ltd. ,10.25,
Sheela Foam Ltd. ,10.35,
Poly Medicure Ltd. ,10.4,
ICICI Prudential Life Insurance Company Ltd. ,10.47,
