Hindustan Zinc Ltd. ,0.00
Hindalco Industries Ltd. ,1.17
Hindustan Aeronautics Ltd. ,2.56
Honeywell Automation Ltd. ,0.00
Hindustan Petroleum Corporation Ltd. ,1.10
Housing & Urban Development Corporation Ltd. ,0.72
Hindustan Unilever Ltd. ,62.93
ICICI Bank Ltd. ,3.22
ICICI Lombard General Insurance Company Ltd. ,0.00
ICICI Prudential Life Insurance Company Ltd. ,9.79
ICICI Securities Ltd. ,11.18
IDBI Bank Ltd. ,1.05
IDFC Ltd. ,0.92
IDFC First Bank  Ltd. ,1.86
Indian Energy Exchange Ltd. ,21.83
IFB Industries Ltd. ,8.21
IFCI Ltd. ,0.25
Indraprastha Gas Ltd. ,7.18
IIFL Finance Ltd. ,1.92
India Cements Ltd. ,0.96
India Tourism Development Corporation Ltd. ,8.29
Indiabulls Housing Finance Ltd. ,0.64
Indiabulls Real Estate Ltd. ,1.20
Indiamart Intermesh Ltd. ,94.86
Indian Bank ,0.64
Indian Hotels Company Ltd. ,2.96
Indoco Remedies Ltd. ,4.01
Indostar Capital Finance  Ltd. ,1.01
INDUS TOWERS Ltd. ,4.66
IndusInd Bank Ltd. ,2.31
Info Edge India Ltd. ,31.39
Infosys Ltd. ,8.41
INOX Leisure Ltd. ,4.23
Interglobe Aviation Ltd. ,10.65
Indian Overseas Bank ,0.00
Indian Oil Corporation Ltd. ,0.94
IOL Chemicals and Pharmaceuticals Ltd. ,0.00
Ipca Laboratories Ltd. ,6.51
IRB Infrastructure Developers Ltd. ,0.57
Ircon International  Ltd. ,0.21
IRCTC - Indian Railway Catering & Tourism Corp Ltd. ,0.00
ITC Ltd. ,4.26
ITI Ltd. ,290.72
IIFL Wealth Management Ltd. ,3.61
J. K. Cement Ltd. ,7.01
Jagran Prakashan Ltd. ,0.58
Jai Corp Ltd. ,1.45
Jamna Auto Industries Ltd. ,5.36
JB Chemicals and Pharmaceuticals Ltd. ,6.72
Jindal Stainless (Hisar) Ltd. ,1.28
Jindal Saw Ltd. ,0.37
Jindal Stainless Ltd. ,1.29
Jindal Steel & Power Ltd. ,1.07
Jammu and Kashmir Bank Ltd. ,0.39
JK Lakshmi Cement Ltd. ,2.64
JK Paper Ltd. ,1.02
JK Tyre and Industries Ltd. ,1.28
JM Financial Ltd. ,1.08
Johnson Controls -Hitachi Air Conditioning India Ltd. ,0.00
JSW Energy Ltd. ,1.06
JSW Steel Ltd. ,2.79
JTEKT India  Ltd. ,3.55
Jubilant Foodworks Ltd. ,33.72
Just Dial Ltd. ,3.40
Jyothy Labs Ltd. ,4.66
Kajaria Ceramics Ltd. ,8.68
