Navneet Education Ltd.,2.30,28.19,8.32,3.3882211538461537
NBCC (India) Ltd.,5.48,39.40,26.06,1.5118956254796623
NCC Ltd.,1.01,22.90,26.06,0.8787413660782809
NESCO Ltd.,3.04,20.03,47.21,0.4242745181105698
Nestle India Ltd.,0.00,--,69.88,--
Network 18 Media & Investments Ltd.,1.45,--,44.01,--
New India Assurance Company Ltd.,1.90,16.74,35.19,0.4757033248081841
NHPC Ltd.,0.75,8.51,18.29,0.4652815746309459
Nilkamal Ltd.,2.65,25.62,40.19,0.6374720079621797
Nippon Life India Asset Management Ltd.,8.55,41.85,48.52,0.8625309150865622
NLC India Ltd.,0.51,7.02,18.29,0.38381629305631493
NMDC Ltd.,1.39,10.18,9.40,1.0829787234042552
NOCIL Ltd.,2.52,40.72,37.09,1.0978700458344566
NTPC Ltd.,0.87,9.12,18.29,0.498633132859486
Oberoi Realty Ltd.,2.28,27.91,26.06,1.0709900230237912
Oil India Ltd.,0.50,4.89,10.11,0.4836795252225519
Omaxe Ltd.,0.91,--,26.06,--
Oil and Natural Gas Corporation Ltd.,0.73,160.49,10.11,15.874381800197826
Oracle Financial Services Software Ltd.,4.35,17.68,32.43,0.5451742213999383
Orient Cement Ltd.,0.00,--,38.30,--
Orient Refractories Ltd.,6.47,37.62,33.61,1.1193097292472478
Procter and Gamble Hygiene and Health Care Ltd.,0.00,--,72.04,--
Page Industries Ltd.,0.00,--,48.00,--
Persistent Systems Ltd.,5.48,32.92,32.43,1.0151094665433242
Petronet LNG Ltd.,3.35,13.90,43.12,0.3223562152133581
Pfizer Ltd.,0.00,--,38.74,--
Phillips Carbon Black Ltd.,2.08,13.70,12.93,1.0595514307811291
Phoenix Mills Ltd.,2.75,404.01,26.06,15.503069838833461
PI Industries Ltd.,13.27,51.88,51.72,1.003093580819799
Pidilite Industries Ltd.,18.90,89.59,59.71,1.500418690336627
Piramal Enterprises Ltd.,1.49,214.23,38.74,5.529943211151264
Punjab National Bank,0.69,41.92,27.94,1.5003579098067288
PNB Housing Finance Ltd.,0.91,12.77,21.17,0.603212092583845
PNC Infratech Ltd.,2.61,15.24,26.06,0.5848042977743669
Poly Medicure Ltd.,16.94,62.10,74.65,0.8318821165438713
Polycab India Ltd.,5.30,25.23,23.15,1.0898488120950325
Power Finance Corporation Ltd.,0.68,3.80,7.37,0.5156037991858887
Power Grid Corporation of India Ltd.,1.75,9.53,18.11,0.526228602981778
Prestige Estates Projects Ltd.,2.10,86.30,26.06,3.311588641596316
Prism Johnson Ltd.,4.48,--,38.30,--
Procter & Gamble Health Ltd.,0.00,--,38.74,--
PTC India Ltd.,0.46,5.30,18.29,0.2897758337889557
PVR Ltd.,3.41,--,31.36,--
Quess Corp Ltd.,4.58,--,47.21,--
Radico Khaitan Ltd.,4.97,32.43,44.35,0.7312288613303269
Rail Vikas Nigam Ltd.,1.29,7.68,26.06,0.29470452801227937
Rain Industries Ltd.,0.90,9.13,38.30,0.23838120104438645
Rajesh Exports Ltd.,1.45,18.47,67.87,0.2721379107116546
Rallis India Ltd.,3.70,23.54,51.72,0.4551430781129157
The Ramco Cements Ltd.,4.82,33.76,38.30,0.8814621409921671
Rashtriya Chemicals and Fertilisers Ltd.,1.49,12.95,13.48,0.9606824925816023
Ratnamani Metals and Tubes Ltd.,5.39,39.35,23.37,1.6837826272999572
Raymond Ltd.,1.04,--,25.83,--
RBL Bank Ltd.,1.20,25.42,39.89,0.6372524442216094
REC Ltd.,1.02,4.35,7.37,0.5902306648575305
Redington (India) Ltd.,1.48,12.04,14.69,0.8196051735874744
Relaxo Footwears Ltd.,0.00,--,59.11,--
Reliance Industries Ltd.,2.97,33.27,43.12,0.7715677179962895
Responsive Industries Ltd.,4.22,205.06,40.19,5.102264244837024
RITES Ltd.,2.30,14.31,11.78,1.2147707979626488
S H Kelkar & Company Ltd.,2.10,21.28,34.62,0.6146735990756789
Steel Authority of India Ltd.,0.72,8.87,14.52,0.6108815426997245
Sanofi India Ltd.,0.00,--,38.74,--
